,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
112,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-067,1997,2.8,0,2,0,0.0,0.72,0.00,0.00,,33.5,2,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
113,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-008,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,32-335,1989,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Shane Duffy\7314bba4,ie IRL,DF,Brighton,29-349,1992,12.6,1,16,4,25.0,1.27,0.32,0.06,0.25,8.7,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
116,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,30-025,1991,14.0,0,6,3,50.0,0.43,0.21,0.00,0.00,9.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
117,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-121,1993,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,23-334,1998,8.8,3,22,11,50.0,2.51,1.26,0.14,0.27,13.6,0,0,0,3.0,3.0,0.14,0.0,0.0,Matches
119,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,19-233,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,18-256,2003,2.8,0,7,1,14.3,2.52,0.36,0.00,0.00,16.3,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
121,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,29-158,1992,1.7,0,1,0,0.0,0.59,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
122,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,27-134,1994,9.1,1,23,6,26.1,2.54,0.66,0.04,0.17,15.2,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches
123,Emerson\df8b52a5,br BRA,DF,Tottenham,22-336,1999,9.4,0,2,0,0.0,0.21,0.00,0.00,,12.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
124,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,26-037,1995,4.1,0,3,0,0.0,0.73,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
125,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,33-347,1988,8.4,1,3,2,66.7,0.36,0.24,0.33,0.50,5.7,0,0,0,0.7,0.7,0.25,+0.3,+0.3,Matches
